City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,Rena,61.13,11.36,285.93,95,82,2.56,NO,2020-08-02 17:09:16
288,Oktyabrskoye,43.06,44.74,292.15,93,75,1.0,RU,2020-08-02 17:09:17
289,Maragogi,-9.01,-35.22,298.44,75,44,7.16,BR,2020-08-02 17:09:17
290,Portland,45.52,-122.68,295.93,68,40,1.5,US,2020-08-02 17:08:39
291,Ribeira Grande,38.52,-28.7,297.15,69,20,4.6,PT,2020-08-02 17:09:17
292,Bubaque,11.28,-15.83,300.43,81,87,6.78,GW,2020-08-02 17:09:18
293,Mogadishu,2.04,45.34,298.22,80,36,10.08,SO,2020-08-02 17:09:18
294,Saint-Pierre,-21.34,55.48,294.15,64,90,5.7,RE,2020-08-02 17:09:18
295,Valdivia,-39.81,-73.25,286.15,82,40,2.6,CL,2020-08-02 17:04:55
296,Surovikino,48.61,42.85,293.24,55,37,1.78,RU,2020-08-02 17:09:19
297,Cockburn Town,21.46,-71.14,301.06,82,11,7.58,TC,2020-08-02 17:09:19
298,Mugur-Aksy,50.35,90.5,280.34,79,18,1.78,RU,2020-08-02 17:09:19
299,Pochutla,15.74,-96.47,306.48,49,40,2.28,MX,2020-08-02 17:09:19
300,Santa Fe,-31.63,-60.7,296.1,59,81,1.7,AR,2020-08-02 17:08:27
301,Chlum U Trebone,48.96,14.93,292.04,93,100,2.24,CZ,2020-08-02 17:09:20
302,Husavik,66.04,-17.34,286.15,76,90,5.1,IS,2020-08-02 17:09:20
303,Rasht,37.28,49.58,300.15,78,20,2.1,IR,2020-08-02 17:08:07
